Team_Name,Month_Name,Percent_Loss
Reading,MAY,9.09
Reading,AUG,4.55
Reading,SEP,9.09
Reading,OCT,4.55
Reading,NOV,9.09
Reading,DEC,22.73
Southampton,JAN,5.77
Southampton,FEB,11.54
Southampton,MAR,7.69
Southampton,APR,11.54
Southampton,MAY,7.69
Southampton,AUG,9.62
Southampton,SEP,7.69
Southampton,OCT,5.77
Southampton,NOV,9.62
Southampton,DEC,23.08
Stoke City,JAN,15.28
Stoke City,FEB,11.11
Stoke City,MAR,11.11
Stoke City,APR,12.5
Stoke City,MAY,5.56
Stoke City,AUG,5.56
Stoke City,SEP,8.33
Stoke City,OCT,12.5
Stoke City,NOV,9.72
Stoke City,DEC,8.33
Sunderland,JAN,8.43
Sunderland,FEB,13.25
Sunderland,MAR,9.64
Sunderland,APR,8.43
Sunderland,MAY,6.02
Sunderland,AUG,7.23
Sunderland,SEP,9.64
Sunderland,OCT,8.43
Sunderland,NOV,10.84
Sunderland,DEC,18.07
Swansea City,JAN,9.21
Swansea City,FEB,11.84
Swansea City,MAR,11.84
Swansea City,APR,11.84
Swansea City,MAY,7.89
Swansea City,AUG,3.95
Swansea City,SEP,13.16
Swansea City,OCT,7.89
Swansea City,NOV,6.58
Swansea City,DEC,15.79
Tottenham Hotspur,JAN,8.7
Tottenham Hotspur,FEB,6.52
Tottenham Hotspur,MAR,19.57
Tottenham Hotspur,APR,6.52
Tottenham Hotspur,MAY,10.87
Tottenham Hotspur,AUG,10.87
Tottenham Hotspur,SEP,4.35
Tottenham Hotspur,OCT,8.7
Tottenham Hotspur,NOV,13.04
Tottenham Hotspur,DEC,10.87
Watford,JAN,17.65
Watford,FEB,5.88
Watford,MAR,17.65
Watford,APR,11.76
Watford,MAY,11.76
Watford,AUG,5.88
Watford,SEP,5.88
Watford,OCT,5.88
Watford,NOV,11.76
Watford,DEC,5.88
West Bromwich Albion,JAN,12.35
West Bromwich Albion,FEB,4.94
West Bromwich Albion,MAR,12.35
West Bromwich Albion,APR,11.11
West Bromwich Albion,MAY,9.88
West Bromwich Albion,AUG,8.64
West Bromwich Albion,SEP,6.17
West Bromwich Albion,OCT,8.64
West Bromwich Albion,NOV,9.88
West Bromwich Albion,DEC,16.05
West Ham United,JAN,11.86
West Ham United,FEB,6.78
West Ham United,MAR,10.17
West Ham United,APR,11.86
West Ham United,MAY,11.86
West Ham United,AUG,10.17
West Ham United,SEP,5.08
West Ham United,OCT,6.78
West Ham United,NOV,10.17
West Ham United,DEC,15.25
Wigan Athletic,JAN,16.22
Wigan Athletic,FEB,2.7
Wigan Athletic,MAR,5.41
Wigan Athletic,APR,10.81
Wigan Athletic,MAY,5.41
Wigan Athletic,AUG,2.7
Wigan Athletic,SEP,16.22
Wigan Athletic,OCT,13.51
Wigan Athletic,NOV,10.81
Wigan Athletic,DEC,16.22
Wolverhampton,JAN,13.04
Wolverhampton,FEB,4.35
Wolverhampton,MAR,21.74
Wolverhampton,APR,13.04
Wolverhampton,MAY,4.35
Wolverhampton,SEP,13.04
Wolverhampton,OCT,13.04
Wolverhampton,NOV,8.7
Wolverhampton,DEC,8.7
